,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
callcard,0.678,0.8723404255319149,0.6017069701280228,0.856,0.8723404255319149,0.5635103926096998,0.8680851063829788,0.6631578947368421,0.8723404255319149,0.88,0.6666666666666666,0.43478260869565216,0.6730038022813688,0.6121212121212121,0.8723404255319149,0.8775510204081632,0.8689320388349514,0.7604790419161677,0.42786069651741293,0.5906735751295337,0.8689320388349514,0.5964912280701754,0.4311377245508982,0.7590361445783133,0.8723404255319149,0.88,0.657608695652174,0.594059405940594,0.875,0.8695652173913043,0.8689655172413793,0.689873417721519,0.36428571428571427,0.9111111111111111
wireless,0.296,0.2127659574468085,0.08677098150782361,0.9,0.2127659574468085,0.08083140877598152,0.9319148936170213,0.11228070175438597,0.2127659574468085,0.9422222222222222,0.07751937984496124,0.15458937198067632,0.08365019011406843,0.0696969696969697,0.2127659574468085,0.3469387755102041,0.9563106796116505,0.10778443113772455,0.15422885572139303,0.07772020725388601,0.9563106796116505,0.06432748538011696,0.16167664670658682,0.10843373493975904,0.2127659574468085,0.36,0.07608695652173914,0.04950495049504951,0.775,0.1956521739130435,0.9862068965517241,0.12025316455696203,0.16428571428571428,0.35555555555555557
longmon,11.558951750000015,22.42129893617021,10.78150832147937,11.7030014,22.42129893617021,8.456812933025402,11.405958936170206,14.606843333333327,22.42129893617021,11.617557111111104,10.69437984496124,9.082609541062801,12.36482956273764,8.882272727272724,22.42129893617021,17.50000714285714,10.94004939320388,15.806287425149698,9.070647636815917,8.205181347150258,10.94004939320388,9.185380116959065,9.607186676646705,15.845481927710843,22.42129893617021,17.249006999999995,9.982880434782603,9.704702970297033,10.678749999999996,22.46632717391304,10.877242586206894,15.697153006329115,7.1557142857142875,18.10778555555555
tollmon,13.0672515,19.691495744680854,8.932077240398293,23.4500036,19.691495744680854,9.671478406466512,24.1553229787234,7.9912285964912275,19.691495744680854,24.798892888888886,11.410853294573643,3.6449275362318843,10.887833269961977,11.152273181818181,19.691495744680854,20.46939387755102,24.4927213592233,10.402695508982035,3.361940298507463,10.839378238341968,24.4927213592233,10.324562280701754,3.002994011976048,10.314759939759035,19.691495744680854,20.500006,10.836957336956521,9.9195551980198,29.821880625000006,19.48913695652174,21.51379517241379,7.515822784810126,3.9732142857142856,20.533336666666667
equipmon,14.167050500000006,6.231914893617022,7.900142247510668,33.28140199999999,6.231914893617022,5.267205542725173,33.89744893617021,12.728245614035083,6.231914893617022,34.054891111111104,3.6468992248062015,20.064009661835748,4.249619771863118,2.511818181818182,6.231914893617022,10.724489795918368,34.764322815533966,7.539820359281435,20.393781094527363,2.4551813471502593,34.764322815533966,2.0763157894736843,24.54580838323353,7.585240963855419,6.231914893617022,10.51,3.0760869565217392,2.898514851485149,7.885625000000002,5.275,45.58172758620685,14.789873417721523,19.074285714285708,11.677777777777777
cardmon,13.62925,20.382978723404257,11.50782361308677,18.325,20.382978723404257,10.398960739030024,18.613829787234042,13.313157894736841,20.382978723404257,18.898888888888887,12.4234496124031,7.021739130434782,14.297528517110266,11.772727272727273,20.382978723404257,18.336734693877553,18.675970873786408,15.720059880239521,7.041044776119403,11.088082901554404,18.675970873786408,11.442982456140351,7.241017964071856,15.712349397590362,20.382978723404257,18.195,12.410326086956522,10.884900990099009,19.19375,20.380434782608695,18.301724137931036,15.254746835443038,5.239285714285714,19.477777777777778
wiremon,11.402951249999992,9.159574468085106,2.2617354196301567,37.52980500000001,9.159574468085106,2.017782909930716,39.036388297872364,3.2463157894736834,9.159574468085106,40.10978333333336,2.081201550387597,3.8681159420289846,2.31977186311787,1.7742424242424242,9.159574468085106,14.047959183673468,40.546608009708756,3.282934131736527,3.9689054726368154,1.9966321243523317,40.546608009708756,1.6108187134502923,4.156586826347305,3.302710843373494,9.159574468085106,14.332999999999997,2.0375,1.2554455445544555,30.481878124999998,8.143478260869564,42.72345517241381,3.691455696202531,3.992857142857143,13.87
multline,0.475,0.5319148936170213,0.38264580369843526,0.724,0.5319148936170213,0.0,0.7021276595744681,1.0,0.5319148936170213,0.7333333333333333,0.29457364341085274,0.5314009661835749,0.376425855513308,0.0,0.5319148936170213,0.46938775510204084,0.7330097087378641,1.0,0.5422885572139303,0.0,0.7330097087378641,0.0,0.6586826347305389,1.0,0.5319148936170213,0.46,0.15217391304347827,0.17326732673267325,0.475,0.5217391304347826,0.8275862068965517,1.0,0.35,0.5111111111111111
voice,0.304,0.19148936170212766,0.13655761024182078,0.796,0.19148936170212766,0.12933025404157045,0.8127659574468085,0.16842105263157894,0.19148936170212766,0.8177777777777778,0.13178294573643412,0.2318840579710145,0.11026615969581749,0.10606060606060606,0.19148936170212766,0.3877551020408163,0.8398058252427184,0.1317365269461078,0.22885572139303484,0.12435233160621761,0.8398058252427184,0.09941520467836257,0.23952095808383234,0.13253012048192772,0.19148936170212766,0.38,0.10869565217391304,0.09900990099009901,0.6875,0.17391304347826086,0.8758620689655172,0.14556962025316456,0.2357142857142857,0.4
pager,0.261,0.14893617021276595,0.04267425320056899,0.896,0.14893617021276595,0.06235565819861432,0.9148936170212766,0.042105263157894736,0.14893617021276595,0.9333333333333333,0.05426356589147287,0.0821256038647343,0.049429657794676805,0.048484848484848485,0.14893617021276595,0.3877551020408163,0.9466019417475728,0.04790419161676647,0.07960199004975124,0.04145077720207254,0.9466019417475728,0.05263157894736842,0.08383233532934131,0.04819277108433735,0.14893617021276595,0.4,0.02717391304347826,0.019801980198019802,0.975,0.13043478260869565,0.9379310344827586,0.0189873417721519,0.08571428571428572,0.37777777777777777
