,0,1,2,3,4,5,6,7,8,9
region,0.0012095332373400739,0.027349067453520472,-0.008674628962309746,-0.1674396910046351,-0.001485587440129893,-0.04328829782429467,-0.7333881140698204,-0.6279801432463776,-0.11429548346340054,-0.03791868366804671
tenure,0.26277576780860806,0.6076592241495815,0.507068060732585,0.25021494609432043,-0.08132635017629701,-0.1318385795543636,-0.07565870217304647,0.03464218853247557,-0.1739332361449147,-0.0827331298771637
age,0.18597688248873295,0.6314976872983704,0.4357218379391793,-0.2334494875548359,0.09383417406296106,0.23676802576635145,0.14542164963913615,-0.13474356293132886,0.16271859013942575,0.05446720146819608
marital,0.08089720945943216,0.020867171339606316,0.00270381365235474,0.8257181255088039,0.16856735106145615,0.2598224159233749,0.05397475649180781,-0.17599469864102124,0.10952700065589203,0.07891173054729318
address,0.15760256470486347,0.5772298941524463,0.4313381513270998,-0.1275814685882757,-0.039818490857682624,0.14251298631796097,0.09823186596901713,-0.08481265321252168,0.001806262447439602,0.01988806265592821
income,0.2899986353051423,0.30906807400533437,0.2809875355870206,-0.15448783446159636,0.7458214444103597,-0.17584960910086717,0.004503637542758962,0.0186490479447799,0.055473657863293106,0.07101103865689828
ed,0.25551234108872717,-0.5190319424746159,0.282597188376437,-0.022661367634493196,0.15801921968610852,-0.0536547554609037,0.07876687881166937,0.1414091202640247,-0.19179591471639096,0.04834099619977582
employ,0.22665940603378731,0.6592827929496727,0.3449662712351163,-0.1358015116465944,0.3787448334980751,0.1005069212801931,0.03849887213661877,-0.06371968560518372,0.11241226170143392,0.05780567165548833
retire,0.048168618157901195,0.3479071008440156,0.17755965543479155,-0.2175306472057435,-0.4304825006934486,0.626025981669146,0.10315615369099014,-0.06947417730214978,0.07983052388340842,-0.004247123527785589
gender,-0.004850085353056552,0.011798994254484234,0.04703518379685942,0.0028350784706298454,0.13377439518134526,0.3992425409473771,-0.6467298969642438,0.6153858934644131,0.06731481741329921,0.0648832231212446
reside,0.042591689698098074,-0.14826963160472825,-0.16975782765492772,0.8170403351008945,0.16429426516752174,0.220589910492102,-0.009103806790318499,-0.14198301469047428,0.069912880194501,0.038698341651851036
tollfree,0.7104790238599464,0.1649732375530453,-0.3872596954440696,-0.07936417594973158,0.01708719438662483,0.07101418118339153,0.010491695262835296,-0.0462439432406701,-0.1634977826349617,0.15262174439660295
equip,0.30005908112169954,-0.6802955573591327,0.414353171648578,-0.04831498515708041,-0.058048957016366864,0.04644420580343633,0.022016650190458294,-0.0606352200586274,-0.011738076742338906,0.3352217388016827
callcard,0.5307374321382234,0.40831965348120475,0.0759303305366907,0.15065574074046145,-0.27022459573048135,-0.352635269608211,-0.13923548688541673,0.10645127504196707,0.28382834027189396,0.19273834152404226
wireless,0.7639971175364879,-0.3347136693232975,0.05820392264118047,-0.04803717909072505,-0.003489137651507743,0.03308853047398475,-0.007155712358780281,-0.01500212586665847,0.22551173545384073,-0.331820768503952
longmon,0.24550748419582769,0.5681301405709355,0.4680604872772778,0.2328542851577111,-0.14918715113697867,-0.056372982450512095,-0.040242038823438644,0.02262289784510947,-0.21721933591794185,-0.07089395364339843
tollmon,0.7412900404850988,0.27651071125591054,-0.2823293110004127,-0.01878719274759087,0.0252379256734255,0.08689074499974946,-0.0018271001991995005,-0.03894603531345868,-0.1562872063173489,0.041868482924778655
equipmon,0.46301220926813436,-0.6424479061642864,0.4102499914240609,-0.032345551782189584,-0.0692704852808766,0.033423278936719786,0.008215655481444267,-0.04876855244780342,0.019910345339795063,0.24153860472453093
